,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object0.position[2],point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object1.position[2],point.objects.object3.position[0],point.objects.object3.position[1],point.objects.object3.position[2],point.params.BOX_X,point.params.BOX_Y,point.params.EGO_DEST_X,point.params.EGO_SPAWN_X,point.params.FETCH_SPAWN_Y,rho,rho_0,rho_1,rho_2
0,-0.16666666666666669,-4.8,0.0,0.16285714285714284,-5.745454545454545,0.65005,-3.7,-4.5,0.0,0.16285714285714284,-5.745454545454545,-4.25,-0.16666666666666669,-4.5,-0.025468228371557988,1.0,0.025482118419628608,1.0
1,-0.16666666666666669,-4.8,0.0,0.16285714285714284,-5.745454545454545,0.65005,-3.7,-4.5,0.0,0.16285714285714284,-5.745454545454545,-4.25,-0.16666666666666669,-4.5,1.0,-0.23385307199801697,1.0,-0.32190789732886166
2,0.16666666666666663,-4.8,0.0,0.20571428571428568,-5.6909090909090905,0.65005,-3.7,-4.0,0.0,0.20571428571428568,-5.6909090909090905,-4.375,0.16666666666666663,-4.0,-0.02738104382723172,1.0,-0.06304108661203456,1.0
3,0.16666666666666663,-4.8,0.0,0.20571428571428568,-5.6909090909090905,0.65005,-3.7,-4.0,0.0,0.20571428571428568,-5.6909090909090905,-4.375,0.16666666666666663,-4.0,1.0,2.176476097902079,1.0,-4.044251779316482
4,-0.3888888888888889,-4.8,0.0,0.24857142857142855,-5.636363636363637,0.65005,-3.7,-3.5,0.0,0.24857142857142855,-5.636363636363637,-4.125,-0.3888888888888889,-3.5,-0.005580150174499032,1.0,0.15486105593064176,1.0
5,-0.3888888888888889,-4.8,0.0,0.24857142857142855,-5.636363636363637,0.65005,-3.7,-3.5,0.0,0.24857142857142855,-5.636363636363637,-4.125,-0.3888888888888889,-3.5,1.0,-0.6826580685648125,1.0,-0.2889913456959675
6,-0.05555555555555558,-4.8,0.0,0.29142857142857137,-5.581818181818182,0.65005,-3.7,-3.0,0.0,0.29142857142857137,-5.581818181818182,-4.4375,-0.05555555555555558,-3.0,-0.033798034720685044,1.0,-0.05244425366200137,1.0
7,-0.05555555555555558,-4.8,0.0,0.29142857142857137,-5.581818181818182,0.65005,-3.7,-3.0,0.0,0.29142857142857137,-5.581818181818182,-4.4375,-0.05555555555555558,-3.0,1.0,0.315499821161201,1.0,-0.17871870737547613
8,0.2777777777777777,-4.8,0.0,0.33428571428571424,-5.527272727272727,0.65005,-3.7,-4.9,0.0,0.33428571428571424,-5.527272727272727,-4.1875,0.2777777777777777,-4.9,-0.057316106995892235,1.0,-0.05110732339370333,1.0
9,0.2777777777777777,-4.8,0.0,0.33428571428571424,-5.527272727272727,0.65005,-3.7,-4.9,0.0,0.33428571428571424,-5.527272727272727,-4.1875,0.2777777777777777,-4.9,1.0,0.07188124001929408,1.0,-0.1594837041345733
10,-0.2777777777777778,-4.8,0.0,0.3771428571428571,-5.472727272727273,0.65005,-3.7,-4.4,0.0,0.3771428571428571,-5.472727272727273,-4.3125,-0.2777777777777778,-4.4,-0.10192879523847653,1.0,0.10829127318145548,1.0
11,-0.2777777777777778,-4.8,0.0,0.3771428571428571,-5.472727272727273,0.65005,-3.7,-4.4,0.0,0.3771428571428571,-5.472727272727273,-4.3125,-0.2777777777777778,-4.4,1.0,-0.3095339663323915,1.0,-0.30403132422287976
12,0.05555555555555558,-4.8,0.0,0.12612244897959182,-5.418181818181818,0.65005,-3.7,-3.9,0.0,0.12612244897959182,-5.418181818181818,-4.0625,0.05555555555555558,-3.9,0.1697465666695283,1.0,-0.014270457014961269,1.0
13,0.05555555555555558,-4.8,0.0,0.12612244897959182,-5.418181818181818,0.65005,-3.7,-3.9,0.0,0.12612244897959182,-5.418181818181818,-4.0625,0.05555555555555558,-3.9,1.0,2.224903114105515,1.0,-3.7966224210122554
14,0.38888888888888884,-4.8,0.0,0.1689795918367347,-5.363636363636363,0.65005,-3.7,-3.3999999999999995,0.0,0.1689795918367347,-5.363636363636363,-4.46875,0.38888888888888884,-3.3999999999999995,-0.009723053107743851,1.0,-0.0360733510743807,1.0
15,0.38888888888888884,-4.8,0.0,0.1689795918367347,-5.363636363636363,0.65005,-3.7,-3.3999999999999995,0.0,0.1689795918367347,-5.363636363636363,-4.46875,0.38888888888888884,-3.3999999999999995,1.0,-0.7875422006025002,1.0,-0.2364650550826285
