,point.objects.object0.position[0],point.objects.object0.position[1],point.objects.object1.position[0],point.objects.object1.position[1],point.objects.object3.position[0],point.objects.object3.position[1],point.params.BOX_X,point.params.BOX_Y,point.params.EGO_DEST_X,point.params.EGO_SPAWN_X,point.params.FETCH_SPAWN_Y,rho,rho_0,rho_1,rho_2
0,-0.056689929115125604,-4.8,0.0,0.31944846046759284,-5.422039015937958,0.65005,-3.7,-2.932390913297274,0.0,0.31944846046759284,-5.422039015937958,-0.0646419047908458,1.0,-0.05213943060180948,1.0
1,-0.056689929115125604,-4.8,0.0,0.31944846046759284,-5.422039015937958,0.65005,-3.7,-2.932390913297274,0.0,0.31944846046759284,-5.422039015937958,1.0,0.0,1.0,-0.17788276384855511
2,0.20539007774946083,-4.8,0.0,0.4189578256254343,-5.783145821663867,0.65005,-3.7,-4.286445809147147,0.0,0.4189578256254343,-5.783145821663867,-0.21290952171033956,1.0,-0.060417785940242386,1.0
3,0.20539007774946083,-4.8,0.0,0.4189578256254343,-5.783145821663867,0.65005,-3.7,-4.286445809147147,0.0,0.4189578256254343,-5.783145821663867,1.0,-0.8179450993502105,1.0,-0.19460221223401664
4,-0.39460992225053926,-4.8,0.0,0.23895782562543433,-5.663145821663867,0.65005,-3.7,-3.286445809147147,0.0,0.23895782562543433,-5.663145821663867,-0.0004102567033141269,1.0,0.15040620647403036,1.0
5,-0.39460992225053926,-4.8,0.0,0.23895782562543433,-5.663145821663867,0.65005,-3.7,-3.286445809147147,0.0,0.23895782562543433,-5.663145821663867,1.0,-0.6202220621843684,1.0,-0.28356033536704267
6,-0.19460992225053925,-4.8,0.0,0.2989578256254343,-5.543145821663868,0.65005,-3.7,-3.786445809147147,0.0,0.2989578256254343,-5.543145821663868,-0.056247978364132145,1.0,0.044988219386567496,1.0
7,-0.19460992225053925,-4.8,0.0,0.2989578256254343,-5.543145821663868,0.65005,-3.7,-3.786445809147147,0.0,0.2989578256254343,-5.543145821663868,1.0,-0.7383759277908362,1.0,-0.28039503260571164
8,0.42598837511749943,-4.8,0.0,0.17603047796798513,-5.206434414302908,0.65005,-3.7,-4.928699842776858,0.0,0.17603047796798513,-5.206434414302908,-0.05220438338972633,1.0,-0.03809857689224144,1.0
9,0.42598837511749943,-4.8,0.0,0.17603047796798513,-5.206434414302908,0.65005,-3.7,-4.928699842776858,0.0,0.17603047796798513,-5.206434414302908,1.0,0.0,1.0,-0.17183851701278624
10,0.113022499725136,-4.8,0.0,0.3730239459576493,-5.496765953350324,0.65005,-3.7,-3.343293714737146,0.0,0.3730239459576493,-5.496765953350324,-0.08515573950854333,1.0,-0.03608568024609704,1.0
11,0.113022499725136,-4.8,0.0,0.3730239459576493,-5.496765953350324,0.65005,-3.7,-3.343293714737146,0.0,0.3730239459576493,-5.496765953350324,1.0,-0.3294841862958573,1.0,-0.172561442044455
12,0.005390077749460764,-4.8,0.0,0.3589578256254343,-5.783145821663867,0.65005,-3.7,-2.786445809147147,0.0,0.3589578256254343,-5.783145821663867,-0.17283757363058483,1.0,-0.07261998425044322,1.0
13,0.005390077749460764,-4.8,0.0,0.3589578256254343,-5.783145821663867,0.65005,-3.7,-2.786445809147147,0.0,0.3589578256254343,-5.783145821663867,1.0,0.0,1.0,-0.18775248871094358
14,-0.4714799371107433,-4.8,0.0,0.23678279284854606,-5.607724401072296,0.65005,-3.7,-3.5330793502667905,0.0,0.23678279284854606,-5.607724401072296,-0.003378900352241865,1.0,0.08835590698895862,1.0
15,-0.4714799371107433,-4.8,0.0,0.23678279284854606,-5.607724401072296,0.65005,-3.7,-3.5330793502667905,0.0,0.23678279284854606,-5.607724401072296,1.0,-0.8196024272720218,1.0,-0.32359586548611324
16,0.32852006288925684,-4.8,0.0,0.1767827928485461,-5.367724401072296,0.65005,-3.7,-4.0330793502667905,0.0,0.1767827928485461,-5.367724401072296,-0.009014964217763488,1.0,-0.04176185774018898,1.0
17,0.32852006288925684,-4.8,0.0,0.1767827928485461,-5.367724401072296,0.65005,-3.7,-4.0330793502667905,0.0,0.1767827928485461,-5.367724401072296,1.0,-0.6681567753719544,1.0,-0.18090746500264127
18,-0.17401162488250055,-4.8,0.0,0.2960304779679851,-5.566434414302908,0.65005,-3.7,-3.4286998427768585,0.0,0.2960304779679851,-5.566434414302908,-0.023474705024069786,1.0,0.028717874210830774,1.0
19,-0.17401162488250055,-4.8,0.0,0.2960304779679851,-5.566434414302908,0.65005,-3.7,-3.4286998427768585,0.0,0.2960304779679851,-5.566434414302908,1.0,-0.7972645641674045,1.0,-0.3182565990361544
20,0.20539007774946083,-4.8,0.0,0.17895782562543433,-5.303145821663867,0.65005,-3.7,-4.786445809147147,0.0,0.17895782562543433,-5.303145821663867,-0.052925150324082015,1.0,-0.06080359687822831,1.0
21,0.20539007774946083,-4.8,0.0,0.17895782562543433,-5.303145821663867,0.65005,-3.7,-4.786445809147147,0.0,0.17895782562543433,-5.303145821663867,1.0,-0.49570796028616615,1.0,-0.19597338887534127
